,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
0,585c7062-91cd-414b-8c71-6da40de8e91a,man tap,https://play-lh.googleusercontent.com/a/ACg8ocKNdt1lEo2sMQ38do1D4ga31ocYl81A_T7L4cNGMCGCPlaaWA=mo,sukses selalu,5,0,3.23.36,2024-04-30 14:12:01,"Hi kak , makasih yaa buat rivew bintangnyaa semoga selalu jadi pengguna setia aplikasi shopee yahh. jgn lupa panteingin terus sosial media shopee utk dapat info dan promo menarik lainnya. Klo kmu ada kenda lain bisa hubungin mimin lewat DM IG @shoppe_id atau @Shopeecare_id. Have a good day😊^MJ",2024-04-30 16:06:47,3.23.36
1,3e7eef0e-61bf-4476-839b-646f142ad713,Aldo Hansibuan,https://play-lh.googleusercontent.com/a-/ALV-UjW1_4azazD4GWU1Rw1_Ra5biFJ5p2crQXLonTCvvYena9F8QtQ2,Bintang 5 buat Shopee karena selama gw mesen selalu sesuai ekspektasi,5,0,3.24.14,2024-04-30 14:11:22,"Hi kak , makasih yaa buat rivew bintangnyaa semoga selalu jadi pengguna setia aplikasi shopee yahh. jgn lupa panteingin terus sosial media shopee utk dapat info dan promo menarik lainnya. Klo kmu ada kenda lain bisa hubungin mimin lewat DM IG @shoppe_id atau @Shopeecare_id. Have a good day😊^MJ",2024-04-30 16:10:54,3.24.14
2,5eac6e90-d415-41a7-beea-061f006b370a,habibatul fitriyah,https://play-lh.googleusercontent.com/a-/ALV-UjVfoJsT_kqG7TsYCVIPXIzEvzSeX7p87EHse0ttKbECo5BIlgI,"tolong kalau toko2 yg tidak bertanggung jawab jangan dimasukkan di Shopee, soalnya sekarang banyak toko2 fiktifnya di shopee",4,0,3.24.17,2024-04-30 14:11:16,"Hi Kak, maaf bgt buat kendala banyak penipuan yg terjadi. Terima kasih ya buat feedback. Semoga kedepannya Shopee bs lbh baik lg. km bs ajukan pengembalian dana jika barang yg diterima tdk sesuai ya kak. mimin saranin sblm CO kmu bisa cek rivew toko yg mau di beli terlebih dlu. km bisa infoin detail kendala ke DM IG @shoppe_id. mimin tunggu🙏 ^MJ",2024-04-30 16:14:18,3.24.17
3,5560ee63-2cc4-4752-b405-5f3eeb2a7313,tain aja,https://play-lh.googleusercontent.com/a/ACg8ocKlgZMoqHLHEINLMf6WCN9jLoW0Tlw7acvjATIoqtmUY-dhoQ=mo,mantappp,5,0,3.05.09,2024-04-30 14:11:11,"Hi kak, waahhh makasih banyak lohh buat bintang 5nyaa. Yupss shopee emang bisa banget di percaya ya kak. Hari ini kmu dh ceki- ceki shopee belum nihh? buruan cek sekarang yuk biar ga ketinggalan promo menarik lainnyaa. Met sore😊^MJ",2024-04-30 16:10:12,3.05.09
4,9995dadb-5677-48e6-9348-511951e76a1f,Sri Wahyuni,https://play-lh.googleusercontent.com/a/ACg8ocL6WnlfiIIqpq_Q3HvbubBNgVhBRgYNLgt4aC2S8VBotK8vdQ=mo,dapet barang ya dapet murah ya,5,0,3.24.17,2024-04-30 14:11:00,"Hi kak, waahhh makasih banyak lohh buat bintang 5nyaa. Yupss shopee emang bisa banget di percaya ya kak. Hari ini kmu dh ceki- ceki shopee belum nihh? buruan cek sekarang yuk biar ga ketinggalan promo menarik lainnyaa. Met sore😊^MJ",2024-04-30 15:59:44,3.24.17
5,3d3ad015-7801-45c6-9933-debcf3a0ec3c,Wiwik Andriani,https://play-lh.googleusercontent.com/a/ACg8ocLR79dvCUf05F4-lENhafQkUbx7p03-MAjRf7gfG1lRQB1ZLQ=mo,mantap cepat dan tepat,5,0,3.24.14,2024-04-30 14:10:37,"Hi kak, waahhh makasih banyak lohh buat bintang 5nyaa. Yupss shopee emang bisa banget di percaya ya kak. Hari ini kmu dh ceki- ceki shopee belum nihh? buruan cek sekarang yuk biar ga ketinggalan promo menarik lainnyaa. Met sore😊^MJ",2024-04-30 15:55:35,3.24.14
6,8b3be667-e2e5-4b4b-8d30-e9500ecac8de,Herman Aja,https://play-lh.googleusercontent.com/a/ACg8ocLPWLsi_1iPM-eUopBQYctLTAeI5cTZqgZNfUv0_N59tqxVbg=mo,"sukses terus buat Shopie, yg selalu membantu dalam segala hal",5,0,3.24.14,2024-04-30 14:10:19,Yuhuuuuu mimin seneng bangett lohh dengernyaa. Semoga selalu menjadi pelanggan setia shopee yaa. Jgn lupa pantengin terus media sosial shopee untuk info dan promo menarik lainnyaa. Klo kmu ada kenda / pertanyaan terkait shopee bisa hubungin mimin lewat DM IG @shoppe_id atau @Shopeecare_id. sehat selalu😊^MJ,2024-04-30 16:08:37,3.24.14
7,ce809349-fa50-4d18-b98a-4ee6912ae013,Wawan Nugroho,https://play-lh.googleusercontent.com/a-/ALV-UjVyG-JCjFzb8AevXek2iZqz6kO788Nlt4fUe9pFQe1VghukcvU,Shopee recommend,5,0,3.23.36,2024-04-30 14:09:58,"Hi kak, waahhh makasih banyak lohh buat bintang 5nyaa. Yupss shopee emang bisa banget di percaya ya kak. Hari ini kmu dh ceki- ceki shopee belum nihh? buruan cek sekarang yuk biar ga ketinggalan promo menarik lainnyaa. Met sore😊^MJ",2024-04-30 15:54:16,3.23.36
8,f3c632bd-538b-4f34-a76a-742fb3e8bfc2,Yola Syahdini,https://play-lh.googleusercontent.com/a/ACg8ocK7qkuSfq70OX92JbAaaSFxbRlp55on2gy6aUjqbNjjKGO4gQ=mo,good,5,0,,2024-04-30 14:09:45,"Hi kak, thnks buat bintang bintangnya ya. Yuhu shopee emang good benget ya. Udah murah, cepet banyak promo lagi hihi. Klo kmu ada kendala / pertanyaan lain seputar shopee bisa colek mimin lewat DM IG @shoppe_id. Sehat selalu😊^MJ",2024-04-30 15:42:55,
9,3eb13186-ee8f-494c-9216-bfeb96ee6d97,Sarpono ajah,https://play-lh.googleusercontent.com/a-/ALV-UjWFGWL4q8eKzFHX-BagNVY2rJBhl3s-lMRDNAAf5xPvfi_MH1U,ok,4,0,3.24.14,2024-04-30 14:09:43,"Hi kak, thnks buat bintang bintangnya ya. Yuhu shopee emang ok benget ya. Udah murah, cepet banyak promo lagi hihi. Klo kmu ada kendala / pertanyaan lain seputar shopee bisa colek mimin lewat DM IG @shoppe_id. Sehat selalu😊^MJ",2024-04-30 16:03:49,3.24.14
